,Name: ,Position: ,Overall: ,College: ,Age: ,Experience: ,Height(inches): ,Weight(lbs): 
0,Norman Roblow,qb,62,Portland State,27,6,73,225
1,Kenneth Bolt,qb,76,West Georgia,23,2,71,205
2,James Williams,qb,55,San Diego State,21,0,71,204
3,Stephan Dick,qb,67,Penn State,26,5,75,238
4,Wayne Siler,qb,93,Arizona,27,6,79,242
5,Dennis Danielson,qb,97,USC,27,6,71,202
6,Nicholas Brassfield,qb,70,Monmouth (Ill.),23,2,72,234
7,David Carr,qb,69,Brigham Young,23,2,79,232
8,Bernardo Tribble,qb,55,San Jose State,31,10,71,233
9,Jerry Wahl,qb,93,Southeastern Louisiana,22,1,80,216
10,Travis Harpole,qb,88,Purdue,21,0,80,213
11,Ricardo Whitacre,qb,55,Washington State,24,3,78,238
12,Ronald Burke,qb,71,Elon,26,5,72,243
13,Frederick Erickson,qb,74,Nebraska,30,9,74,227
14,Arthur Allen,qb,58,Houston,23,2,78,239
15,Roger Sanders,qb,85,Ohio State,22,1,77,229
16,David Martin,qb,67,Southern Arkansas,24,3,71,205
17,William Smith,qb,84,Eastern Kentucky,28,7,75,214
18,Albert Hood,qb,65,Bowling Green State,27,6,79,239
19,Donald Millspaugh,qb,74,Colgate,21,0,73,248
20,Jody Flink,qb,67,San Diego State,33,12,70,205
21,William Reed,qb,64,North Carolina,23,2,77,204
22,John Gebert,qb,59,Mississippi State,26,5,74,231
23,Jason Hodges,qb,59,Northern Illinois,24,3,74,246
24,Dennis Fisher,qb,61,Temple,28,7,74,200
25,George Hardin,qb,85,Hawaii,21,0,76,220
26,Michael Dominguez,qb,74,Clark Atlanta,30,9,75,242
27,Ryan Swinford,qb,71,Pittsburgh,22,1,77,209
28,David Hammond,qb,64,Virginia,24,3,71,200
29,Emery Beasley,qb,70,Alabama,25,4,74,230
30,Brian Estes,qb,73,Tennessee-Chattanooga,22,1,70,201
31,Duane Centini,qb,81,Clemson,22,1,76,236
32,Leonard Jackson,qb,71,Arizona State,24,3,74,242
33,Jesse Duran,qb,57,Michigan State,23,2,76,241
34,James Boyer,qb,95,Boise State,32,11,74,235
35,Michael Harber,qb,68,Texas Christian,26,5,79,220
36,Howard Garza,qb,65,Montana State,25,4,74,200
37,Richard Ross,qb,74,Iowa State,23,2,75,206
38,Larry Davis,qb,76,Memphis,25,4,79,228
39,Christopher Pyatt,qb,59,Delaware,21,0,75,204
40,Robert Bannon,qb,62,Troy,25,4,78,204
41,Victor Reinking,qb,76,Brigham Young,25,4,71,219
42,Alan Mitchell,qb,55,Duke,24,3,74,236
43,Fred Odom,qb,57,Grambling State,26,5,78,215
44,Alvin Gregg,qb,62,Detroit Mercy,28,7,73,218
45,Johnson Beck,qb,58,Boston U.,27,6,72,220
46,Carl Lipsey,qb,55,Florida,21,0,70,239
47,Daniel Bollinger,qb,55,Illinois,30,9,72,241
48,Ryan King,qb,73,Norfolk State,28,7,78,206
49,Mario Westerman,qb,68,Rutgers,21,0,72,211
50,James Dominique,qb,82,Georgia,27,6,73,231
51,Curtis Ornelas,qb,66,Montana,23,2,75,238
52,Bryan Hovey,qb,68,Jackson State,27,6,70,214
53,James Brummett,qb,66,McNeese State,24,3,79,242
54,Walter Boyce,qb,58,California,28,7,70,230
55,Bryon Wester,qb,61,Arkansas State,28,7,70,213
56,Arnulfo Meadows,qb,95,Tennessee,26,5,72,200
57,William Clark,qb,55,Pittsburgh,27,6,71,201
58,Michael Dempsey,qb,62,Nevada-Las Vegas,23,2,76,227
59,Troy Perry,qb,70,Miami (Fla.),24,3,71,204
60,James Clark,qb,66,West Virginia Wesleyan,22,1,78,202
61,Kenneth Bowman,qb,74,Hofstra,23,2,79,232
62,Pedro Ghent,qb,75,Florida,27,6,76,234
63,Steve Truett,qb,75,Central Michigan,28,7,71,222
64,Steven Mcanally,qb,67,Purdue,26,5,74,235
65,Steve Raines,qb,65,Wabash,32,11,77,224
66,Alberto Horgan,qb,76,Wisconsin,28,7,75,220
67,Erik Sandberg,qb,55,Penn State,22,1,76,225
68,Kevin Kolasinski,qb,63,Boise State,21,0,74,230
69,Patricia Quadnau,qb,55,Texas,26,5,78,203
70,Elbert Gates,qb,88,Texas State,26,5,72,222
71,Bobby Hadlock,qb,68,Illinois Tech,28,7,78,215
72,Bruce Stamand,qb,64,Oklahoma,25,4,76,228
73,Allen Swatzell,qb,85,Kansas State,25,4,79,247
74,Al Blue,qb,56,Minnesota,27,6,73,243
75,John Henson,qb,55,Vanderbilt,25,4,76,249
76,Tom Naples,qb,95,Wake Forest,21,0,76,204
77,Jason Strawderman,qb,68,Sacramento State,24,3,76,216
78,Richard Aguilera,qb,73,Southern University,22,1,74,208
79,Hank Moreno,qb,72,Tennessee,21,0,78,239
80,Daniel Quijano,qb,58,Purdue,27,6,71,232
81,George Robles,qb,75,Vanderbilt,24,3,79,209
82,David Dunigan,qb,67,Delaware,27,6,80,227
83,Philip Gravley,qb,65,Tulane,27,6,78,214
84,Juan Copeland,qb,61,San Jose State,21,0,78,207
85,Rickey Rodriguez,qb,83,Iowa,30,9,72,209
86,William Givens,qb,60,Oklahoma,23,2,75,241
87,Alberto Doyle,qb,62,San Diego State,22,1,79,215
88,Emmett Lackey,qb,56,Texas,27,6,71,249
89,Joshua Mcknight,qb,66,Idaho,27,6,77,234
90,Juan Turney,qb,67,LSU,21,0,76,218
91,Edward Ralph,qb,58,Cincinnati,26,5,74,200
92,Carl Ennis,qb,66,UCLA,26,5,78,246
93,Seth Hughes,qb,78,Florida,28,7,72,240
94,Matthew Bradley,qb,58,Oklahoma State,21,0,72,218
95,Joseph Thomas,qb,71,Nevada-Las Vegas,25,4,76,210
96,Josef Gonzales,qb,73,Southern Illinois,24,3,76,248
97,Elvis Evans,qb,68,San Diego State,22,1,75,204
98,Michael Albright,qb,66,Texas Christian,31,10,71,219
99,Jason Richardson,qb,55,Minnesota,24,3,79,207
100,Russell Stoppkotte,qb,66,Wisconsin,21,0,78,250
101,Ramon Butler,qb,72,Temple,27,6,74,242
102,Daniel Serge,qb,64,Arizona State,26,5,75,213
103,Johnny Marczak,qb,65,Miami (Fla.),24,3,70,247
104,James Black,qb,59,Purdue,25,4,71,213
105,Neil Pettis,qb,68,Syracuse,30,9,79,208
106,George Bryant,qb,58,Texas,27,6,71,246
107,Ralph Petty,qb,72,UCLA,26,5,72,225
108,Albert Houge,qb,66,Texas State,25,4,74,211
109,Thomas Evans,qb,58,Northwestern,32,11,78,206
110,Donald Gillespie,qb,73,Illinois State,21,0,80,210
111,James Muray,qb,57,Nebraska,21,0,72,219
112,Ray Mcvey,qb,56,Morris Brown,27,6,70,223
113,Steven Angel,qb,61,Duke,25,4,74,201
114,Charles Isch,qb,74,Washington State,23,2,79,219
115,James Lampert,qb,61,No College,29,8,74,211
116,Robert Johson,qb,59,Texas,26,5,77,227
117,Jeremy Mensalvas,qb,66,Clemson,26,5,74,232
118,Dallas Webster,qb,74,Arizona,28,7,75,250
